Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
1;Rickenbach und Schwarzenbach an der Glat;X;47,219719;8,153618;1495;1495;CH;CH;
5;Bielbenken;Biel-Beken;48;8;NN;NN;CH;CH;i
5;Wollen;Wollen;47;8;1406;1406;CH;CH;i
5;Muri;;47;8;1413;1413;CH;CH;i
5;Holderbank;;47;8;1424;1424;CH;CH;i
5;Koellikon;KÃ¶llikon;47;8;1401;15. Jh. Anfang;CH;CH;i
5;Wollen;Wollen;47;8;1562;1562;CH;CH;
4;Dagmersellen bei Lucern;X;47,213056;7,989455;1346;1346;CH;CH;i
1;Roggwil bei Arwangen Bern;X;47,241667;7,823623;1450;15. Jh.;CH;CH;i
4;Muttenz;X;47,52768;7,645004;1464;1464;CH;CH;
6;Twann;;47,0947;7,1562;1426;1426;CH;CH;i
1;Twann am Bielersee;X;47,0947;7,1562;1426;1426;CH;CH;ei
5;Tessenberg;X;47;7;1352;1352;CH;CH;
4;Basel;;;;1260;1260;CH;CH;i
1;HÃ¶ngg;X;;;1338;1338;CH;CH;i
1;HÃ¶ngg;;;;1338;1338;CH;CH;i
1;Birmenstorf und Urdorf;X;;;1347;1347;CH;CH;i
1;Appenzell;X;;;1379;1379;CH;CH;i
5;Rotmonten;;;;1383;1383;CH;CH;i
1;Hege;X;;;1396;1396;CH;CH;i
5;Riehen bei Basel;;;;1413;1413;CH;CH;i
5;Weil bei Riehen;;;;1413;1413;CH;CH;i
4;Knonau;;;;1414;1414;CH;CH;i
1;Ruseck (Aargau);;;;1423;1423;CH;CH;i
4;Nieder- und MÃ¤ttmenhalse;;;;1436;1436;CH;CH;i
1;Altregensperg;X;;;1456;1456;CH;CH;i
1;Hege;X;;;1464;1464;CH;CH;i
1;NiderbÃ¼ren;X;;;1469;1469;CH;CH;i
1;MÃ¼lheim;X;;;1475;1475;CH;CH;i
5;Zuozwil;;;;1488;1488;CH;CH;i
1;Rickenbach (St. Gallen);;;;1495;1495;CH;CH;i
5;Schneckenbund (ein Niedergericht im Amt Wil);;;;1495;1495;CH;CH;i
4;Escholzmatt;;;;1500;1500;CH;CH;i
4;RÃ¼mlang;;;;1503;1503;CH;CH;i
1;Embrach;X;;;1518;1518;CH;CH;i
1;Ermatingen;X;;;1518;1518;CH;CH;i
4;Gottlieben;;;;1521;1521;CH;CH;i
5;Mumpf am Rhein bei SÃ¤ckingen;;;;1535;1535;CH;CH;i
4;Hirslanden Stadelhofen;;;;1538;1538;CH;CH;i
5;Moelinbach (bei Rheinfelden und Mumpf);;;;1594;1594;CH;CH;i
1;Ermatingen;X;;;1350;14. Jh.;CH;CH;i
1;Egeri;;;;1350;14.Jh.;CH;CH;i
1;StÃ¤fner am ZÃ¼rcher See;X;;;1450;15. Jh.;CH;CH;i
4;RÃ¼mlang;;;;1450;15. Jh.;CH;CH;i
5;Helfenswil Linggenwil Amtenzell;;;;1450;15. Jh.;CH;CH;i
1;Ellikon;X;;;NN;NN;CH;CH;i
1;Herzogenbuchs;;;;NN;NN;CH;CH;i
4;Egringen;;;;NN;NN;CH;CH;i
4;Embrach;;;;NN;NN;CH;CH;i
4;Emmen;;;;NN;NN;CH;CH;i
4;Hegi;;;;NN;NN;CH;CH;i
4;WÃ¤ningen;;;;NN;NN;CH;CH;i
1;Wagenhausen (bei Stein am Rhein);X;;;1491;1491;CH;CH;ei
5;Pratteln bei Sissach;;;;NN;NN;CH;CH;
4;St. Gilgen ThÃ¼rkheim;X;48,086389;7,280556;1350;14. Jh.;Elsass;Elsass;i
5;Sundhausen;;51,15694444;10,71583333;NN;NN;Elsass;Elsass;i
5;Hatten;X;53,03888889;8,338611111;1490;1490;Elsass;Elsass;
