Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
3;Lauterbach;;50,64;9,4;1589;1589;MDT;Hessen;ei
3;Lauterbach;;50,64;9,4;1569;1569;MDT;Hessen;
3;Lauterbach;;50,64;9,4;1350;14. Jh.;MDT;Hessen;
3;Burgjassa bei SalmÃ¼nster;X;50,28;9,37;1451;1451;MDT;Franken;i
6;Unter- und Oberschippach bei Klingenberg;X;49,670721;9,31655;1594;1594;MDT;Franken;
6;Burgstadt bei Miltenberg;X;49,713611;9,271389;1465;1465;MDT;Franken;
3;Illnhausen;X;50,4;9,27;1460;1460;MDT;Hessen;
5;Wirtheim;X;50,2225;9,262777778;1361;1361;MDT;Hessen;
6;Eschau im Spessart;;49,820278;9,257222;1462;vor 1463;MDT;Franken;i_ei
6;Eschau im Spessart;;49,820278;9,257222;1463;1463;MDT;Franken;
4;Soden Weistumb Soden am Sulzbach;;49,926722;9,2162;1634;1634;MDT;MDT;ei
3;AltenhaÃŸlau;X;50,19;9,19;1354;1354;MDT;Hessen;
6;Laudenbach bei Karlstadt am Main;X;49,745833;9,176111;1468;1468;MDT;Franken;
3;BÃ¼dingen;X;50,29;9,11;1380;1380;MDT;Hessen;i
3;Rorbach;X;50,31;9,05;1350;14. Jh.;MDT;Hessen;
3;Selbold;X;50,18;9,04;1366;1366;MDT;Hessen;
1;Nidda;X;50,412778;9,009167;NN;NN;MDT;MDT;ei
5;GroÃŸlinden;X;51;9;1537;1537;MDT;Hessen;
5;Schotten;;50,5;9;NN;NN;MDT;Hessen;i
5;OberwÃ¶llstadt;X;50;9;1478;1478;MDT;Hessen;
5;Erlenbach;X;50;9;1484;1484;MDT;Hessen;
5;Seulenberg;X;50;9;1484;1484;MDT;Hessen;
3;Krotzenburg;X;50,08;8,98;1415;1415;MDT;Franken;
3;Kleinwelzheim;X;50,04;8,98;1533;1533;MDT;Franken;
5;Nieder-Mockstadt;X;50,33299444;8,944447222;1663;1663;MDT;Hessen;
4;Hausen Obertshausen bei Offenbach;X;50,075898;8,864079;1550;16. Jh.;MDT;MDT;
4;Offenbach;X;50,097222;8,855556;1550;16. Jh.;MDT;MDT;
3;Keuchen;X;50,26;8,84;1401;15. Jh. Anfang;MDT;Hessen;
5;Melbach;X;50,38055556;8,808333333;1475;1475;MDT;Hessen;
1;Bibrau = Bebra zwischen Offenbach und Seligenstadt;X;50,088889;8,803056;1385;1385;MDT;MDT;
3;Steinbach;X;50,55;8,78;1492;1492;MDT;Hessen;
6;Webern bei Lindenfels Odenwald;;49,753611;8,755556;1566;1566;MDT;MDT;ei
3;Vilbel;X;50,18;8,74;1453;1453;MDT;Hessen;
1;Hain bei Dreieich;X;49,999792;8,711944;NN;NN;MDT;MDT;
3;Offenthal-Dreieich;X;50,02;8,7;1380;1380;MDT;Hessen;
3;Bonames;X;50,18333333;8,664722222;1441;1441;MDT;Hessen;
5;Heppenheim;;49,64152778;8,645;1497;1497;MDT;MDT;ei
5;Heppenheim;;49,64152778;8,645;1494;1494;MDT;MDT;
1;Zwingenberg BergstraÃŸe bei Malchenberg;X;49,7225;8,613889;1688;zwischen 1688 und 1739;MDT;MDT;
1;Schwanheim bei HÃ¶chst;X;50,086944;8,581944;1421;1421;MDT;MDT;
1;MÃ¶rfeld bei Darmstadt;X;49,975827;8,567896;NN;NN;MDT;MDT;ei
1;Gerau bei Darmstadt;X;49,921389;8,481806;NN;NN;MDT;MDT;
1;Hornau Kelchheim;X;50,147222;8,451389;1482;1482;MDT;MDT;i
3;Wicker;X;50,03;8,4;1553;1553;MDT;Hessen;
5;Schifferstadt;;49,38611111;8,376111111;1501;1501;MDT;MDT;ei
1;Nordenstat bei Wiesbaden;X;50,063889;8,343056;1426;1426;MDT;MDT;
5;Bellheim;X;49,19805556;8,279166667;1565;1565;MDT;MDT;
3;Runkel;X;50,41;8,16;1449;1449;MDT;Hessen;
6;Maikammer;X;49,30638889;8,129444444;1577;1577;MDT;MDT;
1;GÃ¤rteshecken bei Burgschwalbach und Hanstetten;;50,283222;8,080275;1540;1540;MDT;MDT;ei
6;Steinfeld Rotfels;;49,046763;8,038642;1494;1494;MDT;Franken;ei
1;Fossenhelde = FuchshÃ¶he bei Diez;X;50,370833;8,015833;1383;1383;MDT;MDT;ei
1;Fossenhelde;X;50,370833;8,015833;1444;1444;MDT;MDT;ei
3;Bischofsheim;;50;8;1460;1460;MDT;Hessen;i
5;Bischofsheim;;50;8;1503;1503;MDT;Hessen;ei
5;Stetten;X;50;8;1521;1521;MDT;Hessen;
4;Rheingau Land;X;49,979021;7,923435;1324;1324;MDT;Hessen;
1;Reingau;X;49,979021;7,923435;1487;1487;MDT;MDT;
4;Naumberg;X;49,79837;7,9224;1450;15. Jh.;MDT;MDT;
1;Rotzenhain ;Rotenhain;50,600833;7,8825;1537;1537;MDT;MDT;ei
1;Alsenzbruck;AlsenbrÃ¼ck-Langmeil;49,565;7,881944;1507;1507;MDT;MDT;ei
5;Wilgartswiesen;X;49,20916667;7,879444444;NN;NN;MDT;MDT;
1;Ã–rbach bei Dierdorf;X;50,548889;7,659444;1480;1480;MDT;MDT;
1;Steimel;X;50,617778;7,627778;1670;1670;MDT;MDT;ei
5;Landstuhl;X;49,41222222;7,572222222;NN;NN;MDT;MDT;
3;Sal;Remigiusberg;49,521567;7,438881;1487;1487;MDT;Franken;ei
5;Ginnersdorf (GÃ¶nnersdorf);X;50;7;1494;1494;MDT;Hessen;
6;Losheim;;49,509777;6,756679;1599;1599;MDT;MDT;ei
6;Losheim;;49,509777;6,756679;1590;1590;MDT;MDT;
3;Florstad Flanstad;Florstadt;;;1416;1416;MDT;Hessen;i_ei
3;Haidenfeld;;;;1420;1420;MDT;Franken;i_ei
3;Lengfurt;;;;1448;1448;MDT;Franken;i_ei
6;Karbach;;;;1448;1448;MDT;Franken;i_ei
6;Kreuzwertheim am Main;;;;1449;1449;MDT;Franken;i_ei
5;Kalbach (bei BÃ¼dingen);;;;1525;1525;MDT;MDT;i_ei
1;DÃ¼rkheim;X;;;1530;1530;MDT;MDT;i_ei
1;Bendorf (bei Sayn);X;;;1671;1671;MDT;MDT;i_ei
3;Ã–ringen;Ã–ringen;;;1253;1253;MDT;Franken;i
1;Boffisheim Bofsheim ;Osterburken;;;1301;1301;MDT;MDT;i
4;Babenhausen;;;;1355;1355;MDT;MDT;i
1;Seligenstadt;;;;1390;1390;MDT;MDT;i
6;Kirchzell;;;;1395;1395;MDT;Franken;i
3;Sebold;;;;1407;1407;MDT;Hessen;i
6;Helblingstatt jetzt Helmstatt;;;;1410;1410;MDT;Franken;i
3;Herolz;;;;1417;1417;MDT;Hessen;i
3;Herolz (bei SchlÃ¼chtern);;;;1417;1417;MDT;Hessen;i
3;MÃ¼mlingen;MÃ¼mling bei Michelstadt;;;1422;1422;MDT;Franken;i
1;Lorsch;;;;1423;1423;MDT;MDT;i
5;Muenzenberg;MÃ¼nzenberg;;;1427;1427;MDT;MDT;i
1;Seligenstadt;;;;1429;1429;MDT;MDT;i
1;Seligenstadt;;;;1435;1435;MDT;MDT;i
3;Bonames;Frankfurt-Bonames;;;1441;1441;MDT;Hessen;i
3;Flieden;;;;1442;1442;MDT;Hessen;i
1;Siglingen;;;;1470;1470;MDT;MDT;i
1;Schafheim;Schaafheim;;;1475;1475;MDT;MDT;i
1;Westerwald;X;;;1495;1495;MDT;MDT;i
4;Hainhausen;;;;1500;1500;MDT;MDT;i
1;Alzey;X;;;1589;1589;MDT;MDT;i
4;Oberroden;;;;1550;16. Jh.;MDT;MDT;i
3;Seufersburg ;Seifriedsburg;;;NN;NN;MDT;Franken;i
6;Oberbessenbach;;;;NN;NN;MDT;Franken;i
5;Schluechtern;SchlÃ¼chtern;;;NN;NN;MDT;MDT;i
3;Altenhaslau;AltenhaÃŸlau (Linsengericht);;;1354;1354;MDT;Hessen;ei
3;BÃ¼lfrigheim;;;;1406;1406;MDT;Franken;ei
1;Sulzbach;X;;;1408;1408;MDT;MDT;ei
1;Niedersteinheim;X;;;1430;1430;MDT;MDT;ei
3;Lengfurt;;;;1448;1448;MDT;Franken;ei
6;Birkenfeld;;;;1448;1448;MDT;Franken;ei
6;Greusenheim (Rotfels);;;;1448;1448;MDT;Franken;ei
3;Diffenthal;Tiefenthal (Erlenbach bei Marktheidenfeld) ;;;1449;1449;MDT;Franken;ei
3;Hausen;;;;1449;1449;MDT;Franken;ei
5;Rodheim;;;;1454;1454;MDT;Hessen;ei
5;Beyenheim (bei Friedberg);;;;1455;1455;MDT;Hessen;ei
3;HofstÃ¤tten, Massenbuch, Halsbach;Hofstetten (GemÃ¼nden am Main);;;1456;1456;MDT;Franken;ei
3;Altenhaslau;AltenhaÃŸlau (Linsengericht);;;1461;1461;MDT;Hessen;ei
3;Obernaula;Oberaula;;;1462;1462;MDT;Hessen;ei
3;Kaltensondheim;;;;1468;1468;MDT;Franken;ei
3;Schonterfeld Michaelau;Michelau in Oberfranken;;;1469;1469;MDT;Franken;ei
3;Lauterbach;;;;1469;1469;MDT;Hessen;ei
6;Theilheim (bei WÃ¼rzburg);;;;1473;1473;MDT;Franken;ei
3;Heidenheim;WassertrÃ¼dingen;;;1482;1482;MDT;Franken;ei
1;Strassheim;StraÃŸenheim (bei Mannheim);;;1484;1484;MDT;MDT;ei
5;Fahr Ginnersdorf Wolfendorf;;;;1494;1494;MDT;MDT;ei
1;DÃ¶rsdorf;X;;;1523;1523;MDT;MDT;ei
3;Hofbibra;Hofbieber;;;1525;1525;MDT;Hessen;ei
6;Heidenheim Kloster Anhausen;;;;1526;1526;MDT;Franken;ei
1;Sandhofen (bei Mannheim);;;;1527;1527;MDT;MDT;ei
6;Wenigen-Umstadt;;;;1530;1530;MDT;MDT;ei
3;Kleinwelzheim;;;;1533;1533;MDT;Franken;ei
6;Neustadt (bei Wertheim);;;;1534;1534;MDT;Franken;ei
6;Pfloxbach;;;;1537;1537;MDT;Franken;ei
3;HofstÃ¤tten, Massenbuch, Halsbach;Hofstetten (GemÃ¼nden am Main);;;1552;1552;MDT;Franken;ei
1;Kriftel (Borne und CrÃ¼ftel);X;;;1556;1556;MDT;MDT;ei
3;Winnerod;;;;1561;1561;MDT;Hessen;ei
4;Virnheim;;;;1562;1562;MDT;MDT;ei
5;Rodenbach (bei Hanau);;;;1565;1565;MDT;Hessen;ei
6;Struth bei Kirn;;;;1565;1565;MDT;MDT;ei
5;Kleinlinden;;;;1577;1577;MDT;Hessen;ei
5;Sprendlingen (zw. Frankfurt und Darmstadt);;;;1579;1579;MDT;Hessen;ei
3;Wassergericht;;;;1611;1611;MDT;Hessen;ei
1;Niederdreiss;;;;1622;1622;MDT;MDT;ei
1;Heimbach Weiss Gladbach (bei Koblenz);X;;;1630;1630;MDT;MDT;ei
1;Winden;X;;;1658;1658;MDT;MDT;ei
5;Mockstadt;;;;1663;1663;MDT;Hessen;ei
3;Ried;Harheimer Ried;;;1708;1708;MDT;Hessen;ei
3;Schwalheim;;;;1779;1779;MDT;Hessen;ei
3;Behrungen;Behrungen Grabfeld;;;1782;1782;MDT;ThÃ¼ringen;ei
1;Otterberg (bei Kaiserslautern);;;;1550;16. Jh.;MDT;MDT;ei
3;Wirzburg;WÃ¼rzburg;;;1350;Mitte 14. Jh. ;MDT;Franken;ei
3;Zwischen der Eiche;Klingenberg am Main;;;NN;NN;MDT;Franken;ei
6;Hofheim (bei HaÃŸfurt);;;;NN;NN;MDT;Franken;ei
6;Theres am Main (bei Schweinfurt);;;;NN;NN;MDT;Franken;ei
3;Oddenthal (bei Dreieich);;;;NN;NN;MDT;Hessen;ei
1;Frankenstein (bei Darmstadt Zwingenberg);X;;;NN;NN;MDT;MDT;ei
1;Gerau;;;;NN;NN;MDT;MDT;ei
1;Trebur;X;;;NN;NN;MDT;MDT;ei
1;Walmenach (bei Goarshansen);X;;;NN;NN;MDT;MDT;ei
5;Schluechtern;SchlÃ¼chtern;;;1405;1405;MDT;MDT;
4;Oberhilbersheim bei Bingen;;;;NN;NN;MDT;MDT;
3;Everloh;X;52,335;9,604444444;1605;1605;NDT;Niedersachsen;
4;Hemmendorf;X;52,084444;9,600833;NN;NN;NDT;Niedersachsen;
3;Lauenstein;X;52,08;9,55;1578;1578;NDT;Niedersachsen;
4;Lauenstein bei Worms;X;52,08;9,55;1637;1637;NDT;Niedersachsen;
3;MÃ¼nder;X;52,2;9,47;NN;NN;NDT;Niedersachsen;
3;Beber (zwischen HÃ¼lsede und Hamelspringe);X;52,22;9,38;1659;1659;NDT;Niedersachsen;
3;Schaumburg;X;52,29;9,21;1720;1720;NDT;Niedersachsen;
3;Engern;X;52,19;9,08;1558;1558;NDT;Westfalen;
3;Goddelsheim;X;51,18;9,02;1685;1685;NDT;Westfalen;
4;Steinheim;X;50,106389;8,913611;1550;16. Jh.;NDT;NDT;
3;DelbrÃ¼ck;X;51,76666667;8,566666667;1750;18. Jh.;NDT;Westfalen;
3;Eikel;X;52,31;8,23;1500;um 1500;NDT;Westfalen;
3;Dissen bei OsnabrÃ¼ck;X;52,12;8,2;1582;1582;NDT;Westfalen;
3;Nortrupp bei OsnabrÃ¼ck;X;52,28;8,04;1677;1677;NDT;Westfalen;
3;Bakenfeld bei MÃ¼nster;X;51,96;7,63;NN;NN;NDT;Westfalen;
3;Werne an der Lippe;X;51,67;7,62;1569;1569;NDT;Westfalen;
3;Hohenlimburg;X;51,35;7,57;1500;um 1500;NDT;Westfalen;
3;Hagen;X;51,36;7,48;1513;1513;NDT;Westfalen;
3;SchÃ¶pplenberg;X;51,3;7,45;1399;1399_1403;NDT;Westfalen;
3;Wenigern bei Volmerstein;X;51,37;7,38;NN;NN;NDT;Westfalen;
3;Sandwell bei Horstmar;X;52,08;7,31;1566;1566;NDT;Westfalen;
3;Dernekamp bei DÃ¼lmen;X;51,83;7,28;1603;1603;NDT;Westfalen;
3;Lohmar;X;50,82;7,22;1570;1570;NDT;Westfalen;
3;Bochum;X;51,48012;7,21662;1341;1341;NDT;Westfalen;
3;Barmen;X;51,28;7,2;1650;17.Jh.;NDT;Westfalen;
3;Hattenegge Hattingen;X;51,4;7,18;1550;16. Jh.;NDT;Westfalen;
3;Hattingen;X;51,4;7,18;1550;16. Jh.;NDT;Westfalen;
3;Hattenegge Hattingen;X;51,4;7,18;NN;NN;NDT;Westfalen;
3;Barkhofen bei Werden;X;51,39;7;1320;1320;NDT;Westfalen;
3;Irnich Schwerfen;X;50,64;6,65;1491;1491;NDT;Westfalen;i
3;Lottum;X;51,44;6,11;1428;1428;NDT;Westfalen;
3;Born (Limburg);X;51,03;5,81;1486;1486;NDT;Westfalen;
4;Winsen (MÃ¼ndung Ã–rtze in die Aller);;;;1634;1634;NDT;Niedersachsen;i
3;MÃ¼nster (Westfalen);;;;NN;NN;NDT;Westfalen;i
3;Hilden (bei DÃ¼sseldorf);;;;1386;1386;NDT;Westfalen;ei
3;Sickte;;;;1571;1571;NDT;Niedersachsen;ei
3;Dissen;;;;1582;1582;NDT;Westfalen;ei
3;Rietberg;;;;1697;1697;NDT;Westfalen;ei
3;Bramsel Brasel;Barmen bei Schwelm;;;1650;17.Jh.;NDT;Westfalen;ei
3;Nussdorf;X;48,26;16,36;1450;1450;OOD;AT;
3;Patzmannsdorf;X;48,63;16,27;1460;1460;OOD;AT;
3;Grimmenstein;X;47,61527778;16,12666667;NN;NN;OOD;AT;
3;Raxendorf;X;48,34;15,27;1460;1460;OOD;AT;
3;Wimberg;X;48,28;15,06;1567;1567;OOD;AT;
3;Mayerhofen und Bergern/Berging;X;48,14;14,65;1450;15. Jh;OOD;AT;
3;Malching;X;48,31;13,19;1350;14. Jh.;OOD;Baiern;
6;Liebenau;X;47,936667;12,9325;NN;NN;OOD;Baiern;
6;Raschenberg bei Traunstein;X;47,846908;12,784273;1671;1671;OOD;Baiern;
6;Winhering bei NeuÃ¶tting;;48,266667;12,65;1402;zwischen 1402 und 1450;OOD;Baiern;ei
6;Winhering bei NeuÃ¶tting;;48,266667;12,65;1594;1594;OOD;Baiern;
3;WildenschÃ¶nau;X;48,55;12,57;1440;1440;OOD;Baiern;
3;Trostberg;X;48,03;12,56;1326;1326;OOD;Baiern;
6;Kloster Baumburg Altenmarkt an der Alz;;47,998056;12,530833;1439;1439;OOD;Baiern;ei
3;Chiemsee;X;47,86194444;12,40111111;1393;1393;OOD;Baiern;
6;Moshaim bei Haidau Regensburg;X;48,925502;12,270934;1301;14. Jh. Anfang;OOD;Baiern;
6;Essenbach bei Landshut;;48,616667;12,216667;NN;NN;OOD;Baiern;ei
3;Hofmark bei Landshut;X;48,49;12,19;1554;1554;OOD;Baiern;
3;Angecht bei Kufstein;X;47,58;12,17;NN;NN;OOD;AT;
3;Wising;X;47,51;12,06;NN;NN;OOD;AT;
3;Stumm;X;47,29;11,89;1450;15. Jh.;OOD;AT;
6;Geisenfeld bei Ingolstadt;;48,683889;11,611389;NN;NN;OOD;Baiern;
6;St. Clarenkloster zu MÃ¼nchen;X;48,133667;11,571789;1550;16. Jh.;OOD;Baiern;
3;Werdenfels;X;47,52;11,1;1431;1431;OOD;Baiern;
3;Umhausen;X;47,14;10,93;NN;NN;OOD;AT;
6;Thierhaupten;X;48,56666667;10,91666667;1475;1475;OOD;Baiern;
3;Peitigau;X;47,8;9,79;1435;1435;OOD;Baiern;
6;Geimersheim;;49,886202;8,399345;NN;NN;OOD;Baiern;ei
3;Langenerringen;;;;1378;1378;WOD;Schwaben;i
3;Schlanders am Etsch;;;;1400;1400;OOD;Tirol;ei
3;Tollnstein;Dollnstein;;;1412;1412;OOD;Baiern;ei
3;Peitigau;;;;1435;1435;OOD;Baiern;ei
3;WildenschÃ¶nau;;;;1440;1440;OOD;Baiern;ei
3;Nussdorf;;;;1450;1450;OOD;Ã–sterreich;ei
3;Patzmannsdorf;;;;1460;1460;OOD;Ã–sterreich;ei
3;Chiemsee;;;;1462;1462;OOD;Baiern;ei
3;Wimberg;;;;1566;vor 1567;OOD;Baiern;ei
3;Enzersdorf;;;;1575;1575;OOD;Ã–sterreich;ei
3;Ã–tting;;;;1577;1577;OOD;Baiern;ei
3;Buch (bei Landshut);;;;NN;NN;OOD;Baiern;ei
3;Raitenbuch (bei Weisenburg);;;;NN;NN;OOD;Baiern;ei
3;SchÃ¶nfeld;Schernfeld;;;NN;NN;OOD;Baiern;ei
6;Altheim (Niederbaiern);;;;NN;NN;OOD;Baiern;ei
3;Wartenstein;;;;NN;NN;OOD;Ã–sterreich;ei
3;Angecht, Angel am Inn;;;;NN;NN;OOD;Tirol;ei
3;Stumm;;;;NN;NN;OOD;Tirol;ei
3;Umhausen Ã–tzthal;;;;NN;NN;OOD;Tirol;ei
3;Wising (bei Angath);;;;NN;NN;OOD;Tirol;ei
6;Itter;X;51,206;8,945;1765;1765;WMD;WMD;
6;Dreieich;X;50,01888889;8,696111111;1338;1338;WMD;WMD;
6;Frankfurt;;50,110556;8,682222;NN;NN;WMD;WMD;ei
1;Lussheim am Rhein bei Speyer;X;49,299722;8,5;1516;1516;WMD;WMD;i
4;KÃ¶nigstein;;50,183125;8,463541667;NN;NN;WMD;WMD;i
1;Sandhofen am Rhein bei Mannheim;X;49,544695;8,443245;1527;1527;WMD;WMD;ei
1;Mainz;X;50;8,271111111;NN;NN;WMD;WMD;
5;HaÃŸloch;X;49,36305556;8,255833333;1492;1492;WMD;WMD;
1;Bleidenstatt;X;50,138889;8,1375;1509;1509;WMD;WMD;
1;Landau;X;49,199444;8,123056;1295;1295;WMD;WMD;
1;BÃ¤rstadt zwischen Langenschwalbach und Schlangenbad;X;50,1025;8,073333;1489;1489;WMD;WMD;
1;Limburg an der Lahn;X;50,38333333;8,066666667;1720;1720;WMD;WMD;ei
1;Limburg an der Lahn;X;50,38333333;8,066666667;1374;1374;WMD;WMD;
1;Fossenhelde = FuchshÃ¶he bei Diez;X;50,370833;8,015833;1444;1444;WMD;WMD;
5;GroÃŸ Bockenheim;;50;8;1300;1300;WMD;WMD;ei
5;Hochstetten;;50;8;1543;1543;WMD;WMD;ei
5;Gleiszweiler;;49;8;1568;1568;WMD;WMD;ei
2;Sprendlingen;X;49,86166667;7,9875;NN;NN;WMD;WMD;
4;Genzingen;;49,898056;7,928056;1491;1491;WMD;WMD;i
4;Genzingen;;49,898056;7,928056;NN;NN;WMD;WMD;ei
1;Reingau;X;49,979021;7,923435;1324;1324;WMD;WMD;
2;RÃ¼desheim;X;49,979021;7,923435;NN;NN;WMD;WMD;
1;Alsenzbruck bei Winnweiler Donnersberg;X;49,565;7,881944;1507;1507;WMD;WMD;
2;Creuznach (Bad Kreuznach);X;49,846944;7,866944;NN;NN;WMD;WMD;
2;Gutenberg (HundsrÃ¼ck, Nahe);X;49,879722;7,798611;1498;1498;WMD;WMD;ei
4;Guttenberg bei Kreuznach;X;49,879722;7,798611;NN;NN;WMD;WMD;
2;Bacharach (HundsrÃ¼ck);X;50,061111;7,769444;1349;vor 1350;WMD;WMD;i
2;Bacharach (HundsrÃ¼ck);X;50,061111;7,769444;NN;NN;WMD;WMD;i
2;Bacharach (HundsrÃ¼ck);X;50,061111;7,769444;1407;1407;WMD;WMD;
4;Weinsheim bei Kreuznach;X;49,8375;7,766944;NN;NN;WMD;WMD;
5;Schiersfeld;;49,69429167;7,763863889;1359;1359;WMD;WMD;ei
1;Herspach bei Dierdorf;X;50,575;7,739167;1557;1557;WMD;WMD;
6;Sponheim oder Spanheim, Kloster;;49,845833;7,726389;1488;1488;WMD;WMD;i
2;DÃ¶rrebach (HundsrÃ¼ck) bei Stromberg;X;49,945278;7,720556;1508;1508;WMD;WMD;
6;Martrachdorf;X;50,552222;7,714444;1548;1548;WMD;WMD;
3;Welmich;X;50,17;7,69;1509;1509;WMD;WMD;
2;Bockenau Widder (HundsrÃ¼ck, Nahe);X;49,836667;7,679444;NN;NN;WMD;WMD;
1;Fischbach, Waldfischbach bei TÃ¼rkheim;X;49,284586;7,652663;1536;1536;WMD;WMD;ei
4;Meddersheim HundsrÃ¼ck;;49,776944;7,618333;1514;1514;WMD;WMD;ei
6;Rhense HundsrÃ¼ck;;50,280489;7,618111;NN;NN;WMD;WMD;ei
6;Kesselheim Eifel bzw Rhein;;50,396389;7,585556;1551;1551;WMD;WMD;ei
2;Leiningen (Saar);X;50,133333;7,570278;NN;NN;WMD;WMD;
2;Pleizenhausen bei Simmern;X;50,015556;7,569722;1582;1582;WMD;WMD;
2;Moselweis bei Koblenz;X;50,350833;7,558611;1580;1580;WMD;WMD;
3;Bubenheim;X;50,38;7,55;1556;1556;WMD;WMD;
2;Waldesch;X;50,2825;7,545;1722;1722;WMD;WMD;
1;Heimbach, Weiss, Gladbach bei Koblenz;X;50,450455;7,538711;1630;1630;WMD;WMD;
6;Kerlich Eifel;;50,386944;7,495278;1551;1551;WMD;WMD;ei
2;Kellenbach bei Kirn;X;49,8475;7,495;1560;1560;WMD;WMD;ei
3;Obergundershausen;X;50,15;7,49;1771;1771;WMD;WMD;
2;Ravengirsburg bei Simmern HundsrÃ¼ck;X;49,936944;7,478056;1442;1442;WMD;WMD;i
2;Ravengirsburg bei Simmern HundsrÃ¼ck;X;49,936944;7,478056;1509;1509 Abschrift 1600;WMD;WMD;ei
6;Ravengirsburg bei Simmern HundsrÃ¼ck;;49,936944;7,478056;NN;NN;WMD;WMD;ei
2;Cobern (Mosel);X;50,309167;7,455556;1585;1585;WMD;WMD;
2;Beulich (Mosel);X;50,174761;7,452997;NN;NN;WMD;WMD;
2;Biebern bei Simmern;X;49,992889;7,442681;1506;1506;WMD;WMD;
2;Mannenbach bei Beltheim;X;50,111026;7,432213;1601;1601;WMD;WMD;
2;Chorweiler bei Castellaun;X;50,108333;7,416389;1602;1602;WMD;WMD;
2;Andernach;X;50,43972222;7,401666667;1498;1498;WMD;WMD;
2;Dommershausen bei Treis an der Mosel;X;50,143611;7,397778;1580;1580;WMD;WMD;
6;MÃ¼nstermaifeld Eifel;;50,2475;7,363056;NN;NN;WMD;WMD;ei
2;MÃ¼nstermainfeld;X;50,2475;7,363056;1372;1372;WMD;WMD;
2;Betzing bei MÃ¼nstermaifeld, Polch;X;50,2475;7,363056;NN;NN;WMD;WMD;
6;Kretz bei Andernach;;50,395833;7,361667;NN;NN;WMD;WMD;ei
6;Pellenz;X;50,38333333;7,35;1461;1461;WMD;WMD;
6;Pellenz;X;50,38333333;7,35;1350;14. Jh.;WMD;WMD;
2;Kruft bei Maria Laach;X;50,386389;7,3375;1482;1482;WMD;WMD;
2;Carden (bei Treis);X;50,178056;7,302222;1462;1462;WMD;WMD;
2;Peterswald(e) (Mosel);X;50,0075;7,289167;1556;1556;WMD;WMD;
1;Linz am Rhein Nonnenkloster;X;50,568611;7,283056;1501;16. Jh. Anfang;WMD;WMD;
2;Pommern (Mosel);X;50,171111;7,273889;1606;1606;WMD;WMD;ei
3;Niederernst;X;50,14;7,23;1584;1584;WMD;MoselfrÃ¤nkisch;ei
6;Mayen;;50,329615;7,221258;1556;1556;WMD;WMD;ei
2;Meien;Mayen;50,329615;7,221258;NN;NN;WMD;WMD;ei
6;Mayen;;50,329615;7,221258;NN;NN;WMD;WMD;ei
6;Mayen;;50,329615;7,221258;1605;1605;WMD;WMD;
2;Clotten;;50,16666667;7,199722222;1435;1435;WMD;WMD;i
2;Clotten;;50,16666667;7,199722222;1446;1446;WMD;WMD;i
2;Clotten;;50,16666667;7,199722222;1511;1511;WMD;WMD;i
6;Clotten Untermosel;;50,16666667;7,199722222;1602;1602;WMD;WMD;i
6;Clotten Untermosel;;50,16666667;7,199722222;NN;NN;WMD;WMD;i
6;Mesenich an der Mosel;;50,0975;7,197778;1507;1507;WMD;WMD;i_ei
2;Kleinich bei Berncastel;X;49,892811;7,186069;NN;NN;WMD;WMD;
2;Kloster NeumÃ¼nster (Saar);X;49,404167;7,163611;NN;NN;WMD;WMD;i
6;Kurrenberg Eifel;X;50,337935;7,157963;1454;1454;WMD;WMD;
6;Kurrenberg Eifel;X;50,337935;7,157963;1518;1518;WMD;WMD;
2;Briedel (Mosel);X;50,024042;7,149089;NN;NN;WMD;WMD;
3;DÃ¼nchenheim;X;50,23;7,14;1521;1521;WMD;MoselfrÃ¤nkisch;ei
2;Lymersdorf = Leimersdorf bei Remagen;X;50,585245;7,133571;1559;1559;WMD;WMD;
2;PÃ¼derich (Mosel);X;50,041389;7,132222;NN;NN;WMD;WMD;
2;Luxem bei DÃ¼ren, ZÃ¼lpich;X;50,319444;7,106667;1544;1544;WMD;WMD;ei
2;Wolf bei CrÃ¶ve (Mosel);;49,978563;7,103908;1490;15. Jh. Ende;WMD;WMD;i
2;Wolf bei CrÃ¶ve (Mosel);;49,978563;7,103908;1435;1435;WMD;WMD;
6;Eschringen bei SaarbrÃ¼cken;X;49,190827;7,101248;1498;1498;WMD;WMD;
6;Langenfeld bei Mayen;X;50,376389;7,093889;1666;1666;WMD;WMD;
2;Fritzdorf bei Remagen;X;50,595998;7,090173;1515;1515;WMD;WMD;
2;CrÃ¶ve (Mosel bei BÃ¼nderich);X;49,977617;7,084564;NN;NN;WMD;WMD;ei
6;MÃ¼rstert bei Berncastel;X;49,916111;7,069444;1672;1672;WMD;WMD;
3;Tholey;X;49,48;7,04;1450;1450;WMD;MoselfrÃ¤nkisch;ei
2;Kenfuss (Mosel);X;50,088361;7,020733;1500;1500;WMD;WMD;
2;Retterand (bei Mayen);X;50,272011;7,015444;NN;NN;WMD;WMD;
2;Ursfeld (Eifel);;50,255556;7,013889;1559;1559;WMD;WMD;ei
1;ZÃ¼sch bei Hermanskell und Achtelsbach;X;49,648522;7,006139;1592;1592;WMD;WMD;
2;Ãœrzig (Mosel);;49,982222;7,005278;1565;1565;WMD;WMD;i
